FireYear,Plot,SiteType,Day,Month,Round,Transect,PlantCommonName,PlantLatinName,FlowerCount,PlantCount,OutsideTransectCount
2010,F2,Forest,21,7,2,North,buttercup,Ranunculus repens,1,1,0
2010,F2,Forest,21,7,2,North,Yarrow,Achillea millefolium,6,1,0
2010,F2,Forest,21,7,2,North,Alpine American Speedwell,Veronica wormskjoldii,12,5,0
2009,S1,Fire,21,7,2,North,Subalpine daisy,Erigeron peregrinus,4,3,4
2009,S1,Fire,21,7,2,North,white hawkweed,Hieracium albiflorum,15,3,4
2009,S1,Fire,21,7,2,North,Slender hawkweed,Hieracium gracile,3,2,4
2009,S1,Fire,21,7,2,North,Red Columbine,Aquilegia formosa,3,2,4
2009,S1,Fire,21,7,2,North,arctic lupin,Lupinus arcticus ,10,1,4
2009,S1,Fire,21,7,2,North,Bunchberry,Cornus canadensis,4,4,4
2009,S1,Fire,21,7,2,North,Twinflower,Linnea borealis,261,14,4
2009,S1,Fire,21,7,2,North,arnica,Arnica sp.,22,10,4
2009,S1,Fire,21,7,2,North,Racemose pussytoes,Antennaria racemosa,1,1,4
2009,S1,Fire,21,7,2,North,Yarrow,Achillea millefolium,125,6,4
2009,S1,Fire,21,7,2,North,Sitka valerian,Valeriana sitchensis,140,14,4
2009,S1,Fire,21,7,2,West,Twinflower,Linnea borealis,609,352,4
2009,S1,Fire,21,7,2,West,Yarrow,Achillea millefolium,702,46,4
2009,S1,Fire,21,7,2,West,Dwarf Fireweed,Chamaenerion latifolium,1,1,4
2009,S1,Fire,21,7,2,West,sitka burnet,Sanguisorba sitchensis,23,23,4
2009,S1,Fire,21,7,2,West,Alpine American Speedwell,Veronica wormskjoldii,1,1,4
