FireYear,Plot,SiteType,Day,Month,Round,Transect,PlantCommonName,PlantLatinName,FlowerCount,PlantCount,OutsideTransectCount
2017,S4,Fire,3,7,1,South,Thimbleberry,Rubus parviflorus,10,6,1
2017,S4,Fire,3,7,1,East,Thimbleberry,Rubus parviflorus,9,5,1
2017,S4,Fire,3,7,1,East,Arnica,Arnica sp.,11,11,1
2017,S4,Fire,3,7,1,East,Rose,Rosa sp.,5,3,1
2017,S4,Fire,3,7,1,East,White Spirea,Spiraea betulifolia,5445,163,1
2017,S4,Fire,3,7,1,East,Fireweed,Chamaenerion angustifolium,5,1,1
2010,F4,Forest,7,7,1,North,Yellow Mountain Heather,Phyllodoce glanduliflora,5,2,0
2010,F4,Forest,7,7,1,North,White flowered Rhododendron,Rhododendron albiflorum,69,14,0
2010,F4,Forest,7,7,1,East,Arnica,Arnica sp.,1,1,0
2010,F4,Forest,7,7,1,East,pink mountain heather,Phyllodoce empetriformis,2,1,0
2010,F4,Forest,7,7,1,East,Bunchberry,Cornus canadensis,66,66,0
2010,F4,Forest,7,7,1,East,Twinflower,Linnea borealis,2,2,0
2010,F4,Forest,7,7,1,West,Bunchberry,Cornus canadensis,52,52,0
2010,F4,Forest,7,7,1,South,Bunchberry,Cornus canadensis,14,14,0
2010,F4,Forest,7,7,1,South,arctic lupin,Lupinus arcticus ,3,1,0
2010,F4,Forest,7,7,1,South,Twinflower,Linnea borealis,1,1,0
2010,F3,Forest,7,7,1,North,Sitka valerian,Valeriana sitchensis,55,3,1
2010,F3,Forest,7,7,1,North,Arnica,Arnica sp.,3,3,1
2010,F3,Forest,7,7,1,North,Racemose pussytoes,Antennaria racemosa,1054,307,1
2010,F3,Forest,7,7,1,North,arctic lupin,Lupinus arcticus ,83,6,1
2010,F3,Forest,7,7,1,North,Bunchberry,Cornus canadensis,61,61,1
2010,F3,Forest,7,7,1,East,arnica,Arnica sp.,7,7,1
2010,F3,Forest,7,7,1,East,Bunchberry,Cornus canadensis,46,46,1
2010,F3,Forest,7,7,1,East,Racemose pussytoes,Antennaria racemosa,139,31,1
2010,F3,Forest,7,7,1,East,Bracted lousewort,Pedicularis bracteosa,7,1,1
2010,F3,Forest,7,7,1,South,Racemose pussytoes,Antennaria racemosa,10,2,1
2010,F3,Forest,7,7,1,South,Bunchberry,Cornus canadensis,88,88,1
2010,F3,Forest,7,7,1,South,arnica,Arnica sp.,11,11,1
2010,F3,Forest,7,7,1,West,arnica,Arnica sp.,28,28,1
2010,F3,Forest,7,7,1,West,Sitka valerian,Valeriana sitchensis,32,3,1
2010,F3,Forest,7,7,1,West,Bracted lousewort,Pedicularis bracteosa,20,5,1
2010,F3,Forest,7,7,1,West,Bunchberry,Cornus canadensis,125,125,1
2010,F3,Forest,7,7,1,West,arctic lupin,Lupinus arcticus ,1362,104,1
2010,S3,Fire,7,7,1,North,arctic lupin,Lupinus arcticus ,280,25,4
2010,S3,Fire,7,7,1,North,Yarrow,Achillea millefolium,19,1,4
2010,S3,Fire,7,7,1,North,Bunchberry,Cornus canadensis,111,111,4
2010,S3,Fire,7,7,1,North,Arnica,Arnica sp.,1,1,4
2010,S3,Fire,7,7,1,North,Sitka valerian,Valeriana sitchensis,36,1,4
2010,S3,Fire,7,7,1,South,White rein orchid,Platanthera dilatata,24,1,4
2010,S3,Fire,7,7,1,South,arctic lupin,Lupinus arcticus ,1123,127,4
2010,S3,Fire,7,7,1,South,Yarrow,Achillea millefolium,52,3,4
2010,S3,Fire,7,7,1,South,Bunchberry,Cornus canadensis,14,14,4
2010,S3,Fire,7,7,1,South,arnica,Arnica sp.,15,15,4
2010,S3,Fire,7,7,1,South,Diverse leaf cinquefoil,Potentilla diversifolia,2,2,4
2010,S3,Fire,7,7,1,East,arnica,Arnica sp.,4,4,4
2010,S3,Fire,7,7,1,East,Bunchberry,Cornus canadensis,62,62,4
